team,ranking,date
OKC,0.16932137738515424,2015-11-20
MEM,0.20065074658081294,2015-11-20
BOS,0.20679837159936562,2015-11-20
WAS,0.21880136157009034,2015-11-20
ATL,0.2414463787762275,2015-11-20
DET,0.2946294029302443,2015-11-20
LAC,0.3192514412448207,2015-11-20
UTA,0.33439685089523574,2015-11-20
IND,0.3775142665066026,2015-11-20
DAL,0.3814423750745521,2015-11-20
MIA,0.3976804178980456,2015-11-20
CHI,0.7812529780204294,2015-11-20
CLE,0.8989022361832788,2015-11-20
SAS,1.1431948787986725,2015-11-20
GSW,2.248662542770767,2015-11-20
PHI,-2.2115526219415065,2015-11-21
LAL,-1.4144055684337453,2015-11-21
BKN,-1.3963960103083832,2015-11-21
NOP,-1.2099551360379797,2015-11-21
SAC,-0.7415975595634723,2015-11-21
HOU,-0.5309504121458875,2015-11-21
POR,-0.43846810008967596,2015-11-21
MIL,-0.3882514041597084,2015-11-21
MIN,-0.2557452397464552,2015-11-21
DEN,-0.15249068563282586,2015-11-21
ORL,-0.13293776490605758,2015-11-21
OKC,-0.027378749974580785,2015-11-21
LAC,0.12517979745347715,2015-11-21
CHA,0.1769302025503743,2015-11-21
UTA,0.2000394571108252,2015-11-21
NYK,0.20443609017547104,2015-11-21
TOR,0.21079341490299278,2015-11-21
WAS,0.21137226921555802,2015-11-21
BOS,0.2552202031416981,2015-11-21
ATL,0.256352303077466,2015-11-21
PHX,0.2780686707666684,2015-11-21
MEM,0.2930780438476825,2015-11-21
IND,0.3803023675090874,2015-11-21
MIA,0.3868340750089994,2015-11-21
DET,0.45057174421279095,2015-11-21
DAL,0.5229446006815944,2015-11-21
CHI,0.7085462147129655,2015-11-21
SAS,0.7864804422620469,2015-11-21
CLE,0.9078638006980354,2015-11-21
GSW,2.316953086247977,2015-11-21
PHI,-2.245691693003914,2015-11-22
LAL,-1.4122926022089726,2015-11-22
BKN,-1.4001147173282984,2015-11-22
NOP,-1.2155714544195493,2015-11-22
HOU,-0.6498521307594006,2015-11-22
SAC,-0.5259891764562228,2015-11-22
MIL,-0.4655133760738875,2015-11-22
POR,-0.44448433545960897,2015-11-22
ORL,-0.34014057650001145,2015-11-22
MIN,-0.26448159934760906,2015-11-22
DEN,-0.15922207946241193,2015-11-22
OKC,-0.02695022322435662,2015-11-22
LAC,0.12759257202179192,2015-11-22
ATL,0.16902053323934582,2015-11-22
CHA,0.1791530224972577,2015-11-22
UTA,0.19061077417230418,2015-11-22
MEM,0.19973769881820175,2015-11-22
TOR,0.21414605750405424,2015-11-22
BOS,0.2608431375300196,2015-11-22
DET,0.2675107178850226,2015-11-22
PHX,0.27675605243425644,2015-11-22
NYK,0.3266569119888291,2015-11-22
MIA,0.41921327812166886,2015-11-22
WAS,0.42569143282435223,2015-11-22
IND,0.4632855812812761,2015-11-22
DAL,0.5202971707488604,2015-11-22
CHI,0.702328121826675,2015-11-22
SAS,0.9149027313009596,2015-11-22
CLE,1.0085494149615886,2015-11-22
GSW,2.3113167635876186,2015-11-22
PHI,-2.2467504380886787,2015-11-23
LAL,-1.5356752875950666,2015-11-23
BKN,-1.120348918197368,2015-11-23
NOP,-0.946652150197233,2015-11-23
HOU,-0.651835478367113,2015-11-23
SAC,-0.5335913705767636,2015-11-23
MIL,-0.4567254695643813,2015-11-23
POR,-0.35220302326716707,2015-11-23
ORL,-0.3277347352770488,2015-11-23
MIN,-0.26561680785902225,2015-11-23
DEN,-0.20452282889068366,2015-11-23
LAC,-0.06182703493911845,2015-11-23
BOS,0.03209619057518141,2015-11-23
PHX,0.03833415337518924,2015-11-23
OKC,0.13454233852303113,2015-11-23
ATL,0.18046903176726173,2015-11-23
CHA,0.18072809971977358,2015-11-23
UTA,0.1921037698072351,2015-11-23
MEM,0.20735058798656297,2015-11-23
DET,0.2579522939930036,2015-11-23
NYK,0.33441843733101967,2015-11-23
DAL,0.33474961915906554,2015-11-23
TOR,0.3656358050257839,2015-11-23
MIA,0.4208083333200877,2015-11-23
WAS,0.42414065754426916,2015-11-23
IND,0.4592630368504388,2015-11-23
CHI,0.706868822165926,2015-11-23
SAS,0.9229468715566119,2015-11-23
CLE,1.0090506441441927,2015-11-23
GSW,2.3622680688891866,2015-11-23
PHI,-2.2929823222480277,2015-11-24
LAL,-1.5413146250521186,2015-11-24
BKN,-1.1096930695081868,2015-11-24
NOP,-0.9468664481738845,2015-11-24
HOU,-0.6495645576708035,2015-11-24
SAC,-0.6230904150680017,2015-11-24
ORL,-0.3890355298132709,2015-11-24
POR,-0.3602150014683142,2015-11-24
MIL,-0.2784485131257281,2015-11-24
MIN,-0.2215536248752639,2015-11-24
DEN,-0.20463540983782197,2015-11-24
LAC,-0.07619604015025792,2015-11-24
PHX,-0.043925794881712894,2015-11-24
UTA,0.006725841024217161,2015-11-24
BOS,0.04145908389893709,2015-11-24
DET,0.0814772526033784,2015-11-24
ATL,0.18016258729828574,2015-11-24
MEM,0.20750856733486273,2015-11-24
NYK,0.23790748456959823,2015-11-24
CHA,0.2741014694524232,2015-11-24
OKC,0.2928828574318499,2015-11-24
DAL,0.33396346634204527,2015-11-24
TOR,0.36633116000673704,2015-11-24
WAS,0.4288760681598258,2015-11-24
IND,0.4561948790698337,2015-11-24
MIA,0.5614243032095972,2015-11-24
CHI,0.7100676873340873,2015-11-24
SAS,1.013667978998305,2015-11-24
CLE,1.0684704405905228,2015-11-24
GSW,2.3588910765792144,2015-11-24
PHI,-2.2932536226318914,2015-11-25
LAL,-1.5589321689134443,2015-11-25
BKN,-1.105896373052164,2015-11-25
NOP,-0.9561261799657989,2015-11-25
HOU,-0.6587443625453071,2015-11-25
SAC,-0.6110940693926591,2015-11-25
POR,-0.44404396032626897,2015-11-25
ORL,-0.3924936705919972,2015-11-25
DEN,-0.3625966493020685,2015-11-25
MIL,-0.29029244371232205,2015-11-25
MIN,-0.21788067116256699,2015-11-25
BOS,-0.07609629938956845,2015-11-25
PHX,-0.05136139644558272,2015-11-25
UTA,0.008992993314946247,2015-11-25
LAC,0.0783243720125577,2015-11-25
DET,0.08957886140125453,2015-11-25
DAL,0.20427863971115157,2015-11-25
WAS,0.23339630283777635,2015-11-25
