home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline
PHI,NY,81.0,77.0,3,3:36,-1150.0,650.0
MIL,MIA,66.0,77.0,3,10:05,180.0,-235.0
NO,SAC,70.0,65.0,3,9:54,-525.0,350.0
DEN,OKC,8.0,13.0,1,5:35,-825.0,500.0
ORL,IND,108.0,109.0,4,0:18,-165.0,135.0
PHI,NY,81.0,77.0,3,3:19,-1450.0,750.0
NO,SAC,70.0,66.0,3,9:54,-525.0,350.0
DEN,OKC,10.0,13.0,1,5:11,-825.0,500.0
PHI,NY,81.0,77.0,3,3:19,-1150.0,650.0
NO,SAC,72.0,66.0,3,9:29,-525.0,350.0
DEN,OKC,10.0,15.0,1,5:01,-825.0,500.0
ORL,IND,108.0,109.0,4,0:16,-165.0,135.0
MIL,MIA,66.0,77.0,3,9:50,180.0,-235.0
NO,SAC,75.0,69.0,3,8:53,-450.0,310.0
DEN,OKC,10.0,15.0,1,4:40,-775.0,475.0
ORL,IND,108.0,110.0,4,0:16,-165.0,135.0
PHI,NY,81.0,77.0,3,3:19,-1050.0,600.0
MIL,MIA,66.0,77.0,3,9:23,185.0,-245.0
NO,SAC,75.0,69.0,3,8:17,-475.0,325.0
DEN,OKC,10.0,15.0,1,4:29,-825.0,500.0
ORL,IND,108.0,110.0,4,0:10,-165.0,135.0
MIL,MIA,68.0,77.0,3,9:17,150.0,-185.0
NO,SAC,75.0,69.0,3,8:10,-435.0,300.0
HOU,UTA,53.0,66.0,3,11:37,1500.0,-4500.0
DEN,OKC,12.0,15.0,1,3:57,-950.0,550.0
ORL,IND,110.0,110.0,O,5:00,-115.0,-115.0
MIL,MIA,69.0,77.0,3,9:11,145.0,-175.0
HOU,UTA,53.0,68.0,3,11:17,1500.0,-4500.0
DEN,OKC,12.0,17.0,1,3:40,-950.0,550.0
PHI,NY,81.0,77.0,3,3:21,-1050.0,600.0
MIL,MIA,69.0,77.0,3,8:44,130.0,-160.0
NO,SAC,75.0,70.0,3,7:59,-435.0,300.0
HOU,UTA,53.0,70.0,3,10:51,1500.0,-4500.0
DEN,OKC,12.0,19.0,1,3:00,-675.0,425.0
ORL,IND,110.0,110.0,O,5:00,-105.0,-125.0
PHI,NY,84.0,77.0,3,2:41,-1450.0,750.0
NO,SAC,76.0,70.0,3,7:46,-475.0,325.0
HOU,UTA,55.0,70.0,3,10:29,1500.0,-4500.0
PHI,NY,84.0,77.0,3,2:13,-2000.0,900.0
MIL,MIA,69.0,77.0,3,8:43,140.0,-170.0
NO,SAC,77.0,70.0,3,7:32,-600.0,385.0
PHI,NY,87.0,77.0,3,1:39,-3200.0,1200.0
MIL,MIA,71.0,77.0,3,8:13,120.0,-150.0
NO,SAC,79.0,70.0,3,7:27,-600.0,385.0
HOU,UTA,55.0,70.0,3,10:20,1500.0,-4500.0
PHO,POR,,,,,-575.0,410.0
PHI,NY,87.0,77.0,3,1:39,-2000.0,900.0
MIL,MIA,71.0,79.0,3,7:38,120.0,-150.0
NO,SAC,79.0,70.0,3,7:27,-675.0,425.0
HOU,UTA,58.0,70.0,3,9:46,1500.0,-4500.0
ORL,IND,110.0,110.0,O,4:43,-150.0,120.0
MIL,MIA,73.0,79.0,3,7:06,135.0,-165.0
HOU,UTA,58.0,72.0,3,9:25,1400.0,-4000.0
DEN,OKC,12.0,19.0,1,3:00,-600.0,385.0
ORL,IND,112.0,110.0,O,4:12,-220.0,170.0
MIL,MIA,74.0,79.0,3,7:10,120.0,-150.0
HOU,UTA,61.0,74.0,3,8:40,1400.0,-4000.0
DEN,OKC,14.0,19.0,1,2:27,-625.0,400.0
ORL,IND,112.0,110.0,O,4:01,-220.0,170.0
PHI,NY,87.0,80.0,3,1:16,-2000.0,900.0
MIL,MIA,77.0,79.0,3,6:54,100.0,-130.0
HOU,UTA,61.0,74.0,3,8:26,1400.0,-4000.0
DEN,OKC,17.0,21.0,1,2:06,-625.0,400.0
ORL,IND,112.0,110.0,O,4:01,-225.0,175.0
PHI,NY,90.0,80.0,3,0:45,-3200.0,1200.0
MIL,MIA,77.0,79.0,3,6:52,-115.0,-115.0
NO,SAC,79.0,70.0,3,7:30,-675.0,425.0
HOU,UTA,61.0,74.0,3,8:11,1200.0,-3200.0
DEN,OKC,17.0,22.0,1,1:54,-600.0,385.0
ORL,IND,112.0,112.0,O,3:26,-120.0,-110.0
PHI,NY,90.0,80.0,3,0:38,-4000.0,1400.0
NO,SAC,79.0,72.0,3,6:46,-525.0,350.0
HOU,UTA,61.0,74.0,3,8:12,1400.0,-4000.0
DEN,OKC,17.0,24.0,1,1:40,-550.0,360.0
ORL,IND,112.0,112.0,O,2:32,-130.0,100.0
PHI,NY,93.0,80.0,3,0:30,-6000.0,1800.0
NO,SAC,79.0,72.0,3,6:34,-475.0,325.0
HOU,UTA,61.0,74.0,3,8:03,1200.0,-3200.0
DEN,OKC,17.0,24.0,1,1:23,-525.0,350.0
ORL,IND,112.0,112.0,O,2:20,-130.0,100.0
PHI,NY,93.0,80.0,3,0:15,-4500.0,1500.0
NO,SAC,79.0,73.0,3,6:34,-450.0,310.0
HOU,UTA,63.0,76.0,3,7:32,1200.0,-3200.0
DEN,OKC,19.0,24.0,1,1:22,-550.0,360.0
ORL,IND,112.0,112.0,O,2:02,-130.0,100.0
PHI,NY,93.0,81.0,3,0:08,-4500.0,1500.0
NO,SAC,81.0,74.0,3,6:18,-475.0,325.0
HOU,UTA,65.0,78.0,3,6:47,1400.0,-4000.0
DEN,OKC,19.0,24.0,1,1:04,-600.0,385.0
ORL,IND,112.0,115.0,O,1:49,125.0,-155.0
PHI,NY,93.0,81.0,4,12:00,-5500.0,1700.0
MIL,MIA,77.0,79.0,3,6:49,-115.0,-115.0
NO,SAC,84.0,74.0,3,5:40,-825.0,500.0
HOU,UTA,65.0,78.0,3,6:43,1400.0,-4000.0
DEN,OKC,22.0,24.0,1,0:38,-600.0,385.0
ORL,IND,112.0,115.0,O,1:21,290.0,-420.0
MIL,MIA,77.0,79.0,3,6:28,-140.0,110.0
NO,SAC,84.0,74.0,3,5:40,-950.0,550.0
DEN,OKC,24.0,24.0,1,0:07,-625.0,400.0
ORL,IND,112.0,115.0,O,1:25,425.0,-675.0
MIL,MIA,77.0,79.0,3,6:07,-135.0,105.0
NO,SAC,86.0,75.0,3,5:22,-825.0,500.0
DEN,OKC,24.0,24.0,1,0:07,-825.0,500.0
ORL,IND,112.0,118.0,O,1:04,425.0,-675.0
PHI,NY,93.0,81.0,4,12:00,-4500.0,1500.0
MIL,MIA,77.0,79.0,3,5:42,-130.0,100.0
NO,SAC,86.0,75.0,3,4:53,-1150.0,650.0
DEN,OKC,24.0,24.0,2,12:00,-1050.0,600.0
MIL,MIA,80.0,79.0,3,5:02,-200.0,160.0
NO,SAC,88.0,75.0,3,4:27,-1600.0,800.0
ORL,IND,112.0,118.0,O,1:04,1000.0,-2400.0
MIL,MIA,80.0,79.0,3,5:02,-265.0,200.0
NO,SAC,88.0,75.0,3,4:03,-2000.0,900.0
PHI,NY,93.0,81.0,4,11:57,-4500.0,1500.0
MIL,MIA,80.0,79.0,3,4:45,-200.0,160.0
HOU,UTA,68.0,78.0,3,6:29,1200.0,-3200.0
ORL,IND,112.0,118.0,O,0:57,1000.0,-2400.0
