team,gameid,date,home,pts,ppm,poss,tov_rate,reb_rate,oreb_rate,dreb_rate,efpg,tsp,off_eff,def_eff
LAL,22100040,2021-10-24,True,121.0,2.520833333333333,109.5,0.1552511415525114,0.4519230769230769,0.3095238095238095,0.5483870967741935,0.6309523809523809,0.5707547169811321,1.1050228310502284,1.0776255707762556
MEM,22100040,2021-10-24,False,118.0,2.458333333333333,109.5,0.1552511415525114,0.5480769230769231,0.4516129032258064,0.6904761904761905,0.515,0.5,1.0776255707762556,1.1050228310502284
CHA,22100041,2021-10-25,True,129.0,2.4339622641509435,120.5,0.1161825726141078,0.5081967213114754,0.34375,0.6896551724137931,0.5388349514563107,0.4923664122137404,1.070539419087137,1.161825726141079
BOS,22100041,2021-10-25,False,140.0,2.641509433962264,120.5,0.0995850622406639,0.4918032786885246,0.3103448275862069,0.65625,0.5891089108910891,0.5555555555555556,1.161825726141079,1.070539419087137
IND,22100042,2021-10-25,True,109.0,2.270833333333333,110.0,0.1727272727272727,0.5445544554455446,0.2857142857142857,0.7884615384615384,0.5222222222222223,0.5093457943925234,0.990909090909091,1.0818181818181818
MIL,22100042,2021-10-25,False,119.0,2.4791666666666665,110.0,0.1272727272727272,0.4554455445544554,0.2115384615384615,0.7142857142857143,0.5470588235294118,0.5129310344827587,1.0818181818181818,0.990909090909091
ATL,22100043,2021-10-25,True,122.0,2.5416666666666665,107.5,0.1488372093023255,0.5742574257425742,0.391304347826087,0.7272727272727273,0.5777777777777777,0.5495495495495496,1.1348837209302325,0.9674418604651164
DET,22100043,2021-10-25,False,104.0,2.1666666666666665,107.5,0.1302325581395348,0.4257425742574257,0.2727272727272727,0.6086956521739131,0.489010989010989,0.4770642201834862,0.9674418604651164,1.1348837209302325
BKN,22100044,2021-10-25,True,104.0,2.1666666666666665,105.5,0.0853080568720379,0.4758064516129032,0.2142857142857142,0.6911764705882353,0.4787234042553192,0.4684684684684684,0.985781990521327,0.8530805687203792
WAS,22100044,2021-10-25,False,90.0,1.875,105.5,0.1137440758293838,0.5241935483870968,0.3088235294117647,0.7857142857142857,0.3947368421052631,0.391304347826087,0.8530805687203792,0.985781990521327
MIA,22100045,2021-10-25,True,107.0,2.2291666666666665,100.5,0.1094527363184079,0.4752475247524752,0.2222222222222222,0.6785714285714286,0.5057471264367817,0.5047169811320755,1.064676616915423,0.8955223880597015
ORL,22100045,2021-10-25,False,90.0,1.875,100.5,0.1791044776119403,0.5247524752475248,0.3214285714285714,0.7777777777777778,0.4814814814814814,0.45,0.8955223880597015,1.064676616915423
TOR,22100046,2021-10-25,True,108.0,2.25,99.5,0.2110552763819095,0.6333333333333333,0.4680851063829787,0.813953488372093,0.5542168674698795,0.5242718446601942,1.085427135678392,1.115577889447236
CHI,22100046,2021-10-25,False,111.0,2.3125,99.5,0.1306532663316583,0.3666666666666666,0.1860465116279069,0.5319148936170213,0.5555555555555556,0.5388349514563107,1.115577889447236,1.085427135678392
MIN,22100047,2021-10-25,True,98.0,2.0416666666666665,106.0,0.1037735849056603,0.4273504273504273,0.2923076923076923,0.5961538461538461,0.4277777777777777,0.4188034188034188,0.9245283018867924,1.009433962264151
NOP,22100047,2021-10-25,False,107.0,2.2291666666666665,106.0,0.1886792452830188,0.5726495726495726,0.4038461538461538,0.7076923076923077,0.5057471264367817,0.4863636363636364,1.009433962264151,0.9245283018867924
DEN,22100048,2021-10-25,True,87.0,1.8125,100.0,0.22,0.5145631067961165,0.2884615384615384,0.7450980392156863,0.4593023255813953,0.4438775510204081,0.87,0.99
